Price,Close,High,Low,Open,Volume,Prediccion_RNN,Precio_Real
2020-01-22,9573.7001953125,9632.7998046875,9557.0,9622.0,134567800.0,9609.497,9573.7001953125
2020-01-23,9518.5,9604.7001953125,9499.2998046875,9549.400390625,169141000.0,9572.348,9518.5
2020-01-24,9562.0,9639.900390625,9552.5,9576.7998046875,154731100.0,9521.072,9562.0
2020-01-27,9366.2998046875,9482.7998046875,9357.7998046875,9447.099609375,164515500.0,9526.217,9366.2998046875
2020-01-28,9484.2001953125,9488.0,9363.7998046875,9401.7998046875,154919400.0,9427.581,9484.2001953125
2020-01-29,9546.7001953125,9574.2998046875,9510.7001953125,9532.7001953125,187145800.0,9431.396,9546.7001953125
2020-01-30,9477.900390625,9528.400390625,9439.2998046875,9460.7998046875,164094200.0,9504.023,9477.900390625
2020-01-31,9367.900390625,9545.099609375,9365.099609375,9519.2998046875,303553700.0,9491.449,9367.900390625
2020-02-03,9404.7001953125,9431.599609375,9361.5,9404.400390625,168665700.0,9385.586,9404.7001953125
2020-02-04,9562.900390625,9577.2998046875,9462.400390625,9465.900390625,174133900.0,9383.418,9562.900390625
2020-02-05,9717.7998046875,9721.900390625,9540.2001953125,9553.400390625,221922900.0,9499.313,9717.7998046875
2020-02-06,9811.2998046875,9816.2001953125,9757.0,9767.099609375,248416700.0,9652.193,9811.2998046875
2020-02-07,9811.0,9816.2001953125,9761.7998046875,9789.2998046875,179586900.0,9778.102,9811.0
2020-02-10,9816.0,9820.400390625,9773.5,9790.599609375,132132500.0,9808.273,9816.0
2020-02-11,9882.599609375,9884.0,9817.7998046875,9863.400390625,167628300.0,9798.797,9882.599609375
2020-02-12,9940.400390625,9946.599609375,9888.599609375,9897.900390625,199830200.0,9842.679,9940.400390625
2020-02-13,9909.7998046875,9910.099609375,9794.2998046875,9893.900390625,161753500.0,9902.659,9909.7998046875
2020-02-14,9956.7998046875,9969.7001953125,9905.2001953125,9910.900390625,127061800.0,9919.842,9956.7998046875
2020-02-17,10022.2001953125,10022.2001953125,9955.2001953125,9979.2001953125,105784200.0,9933.271,10022.2001953125
2020-02-18,10005.7998046875,10041.5,9967.7998046875,9977.400390625,184042000.0,9976.284,10005.7998046875
2020-02-19,10083.599609375,10100.2001953125,10020.7001953125,10042.0,151866100.0,9990.378,10083.599609375
2020-02-20,9931.0,10050.2998046875,9931.0,10048.7001953125,178849000.0,10047.734,9931.0
2020-02-21,9886.2001953125,9946.400390625,9843.5,9893.0,194954500.0,9974.759,9886.2001953125
